,DATE,STOCK_PRICE,Indicator
0,03-01-2000,122.480469,train
1,04-01-2000,132.110931,train
2,05-01-2000,121.542191,train
3,06-01-2000,111.819138,train
4,07-01-2000,102.873825,train
5,10-01-2000,107.03125,train
6,11-01-2000,98.469139,train
7,12-01-2000,101.570313,train
8,13-01-2000,93.953514,train
9,14-01-2000,94.382813,train
10,17-01-2000,92.576172,train
11,18-01-2000,95.625,train
12,19-01-2000,101.556641,train
13,20-01-2000,98.690231,train
14,21-01-2000,105.738281,train
15,24-01-2000,111.71875,train
16,25-01-2000,112.8125,train
17,27-01-2000,114.1875,train
18,28-01-2000,117.96875,train
19,31-01-2000,112.578125,train
20,01-02-2000,115.09375,train
21,02-02-2000,114.6875,train
22,03-02-2000,116.40625,train
23,04-02-2000,122.5625,train
24,07-02-2000,132.367188,train
25,08-02-2000,138.75,train
26,09-02-2000,135.609375,train
27,10-02-2000,144.140625,train
28,11-02-2000,155.671097,train
29,14-02-2000,168.124222,train
30,15-02-2000,155.9375,train
31,16-02-2000,155.461716,train
32,17-02-2000,160.417191,train
33,18-02-2000,153.75,train
34,21-02-2000,160.546875,train
35,22-02-2000,156.09375,train
36,23-02-2000,143.607025,train
37,24-02-2000,148.351563,train
38,25-02-2000,136.499222,train
39,28-02-2000,133.59375,train
40,29-02-2000,136.009369,train
41,01-03-2000,146.889847,train
42,02-03-2000,158.640625,train
43,03-03-2000,171.331253,train
44,06-03-2000,185.037506,train
45,07-03-2000,199.839844,train
46,08-03-2000,193.568756,train
47,09-03-2000,183.092194,train
48,10-03-2000,182.8125,train
49,13-03-2000,168.188278,train
50,14-03-2000,154.733597,train
51,15-03-2000,151.676559,train
52,16-03-2000,139.542969,train
53,21-03-2000,150.706253,train
54,22-03-2000,162.762497,train
55,23-03-2000,159.53125,train
56,24-03-2000,166.767975,train
57,27-03-2000,163.150787,train
58,28-03-2000,156.987503,train
59,29-03-2000,161.610931,train
60,30-03-2000,151.1875,train
61,31-03-2000,139.092972,train
62,03-04-2000,127.965622,train
63,04-04-2000,117.728905,train
64,05-04-2000,122.039063,train
65,06-04-2000,131.801559,train
66,07-04-2000,142.345306,train
67,10-04-2000,153.732025,train
68,11-04-2000,166.029694,train
69,12-04-2000,157.306244,train
70,13-04-2000,144.721878,train
71,17-04-2000,133.144531,train
72,18-04-2000,122.773438,train
73,19-04-2000,112.952347,train
74,20-04-2000,118.065628,train
75,24-04-2000,113.570313,train
76,25-04-2000,113.992188,train
77,26-04-2000,123.110939,train
78,27-04-2000,124.492188,train
79,28-04-2000,126.5625,train
80,02-05-2000,123,train
81,03-05-2000,120.3125,train
82,04-05-2000,127.6875,train
83,05-05-2000,132.8125,train
84,08-05-2000,118.012497,train
85,09-05-2000,123.828125,train
86,10-05-2000,120.3125,train
87,11-05-2000,112.34375,train
88,12-05-2000,106.71875,train
89,15-05-2000,108.90625,train
90,16-05-2000,108.28125,train
91,17-05-2000,109.269531,train
92,18-05-2000,108.34375,train
93,19-05-2000,100.890625,train
94,22-05-2000,91.625,train
95,23-05-2000,96.5625,train
96,24-05-2000,94.140625,train
97,25-05-2000,94.185158,train
98,26-05-2000,93.59375,train
99,29-05-2000,91.813278,train
100,30-05-2000,97.898438,train
101,31-05-2000,109.21875,train
102,01-06-2000,111.0955078,train
103,02-06-2000,117.578125,train
104,05-06-2000,125.128906,train
105,06-06-2000,124.80703,train
106,07-06-2000,121.022659,train
107,08-06-2000,123.575783,train
108,09-06-2000,122.814842,train
109,12-06-2000,121.342972,train
110,13-06-2000,121.920311,train
111,14-06-2000,122.59922,train
112,15-06-2000,129.631256,train
113,16-06-2000,131.714066,train
114,19-06-2000,133.912506,train
115,20-06-2000,137.103119,train
116,21-06-2000,131.863281,train
117,22-06-2000,132.895309,train
118,23-06-2000,128.160156,train
119,26-06-2000,126.396873,train
120,27-06-2000,127.471092,train
121,28-06-2000,128.860931,train
122,29-06-2000,130.483597,train
123,30-06-2000,129.982025,train
124,04-07-2000,136.383591,train
125,05-07-2000,133.8125,train
126,06-07-2000,132.097656,train
127,07-07-2000,132.547653,train
128,10-07-2000,130.100784,train
129,11-07-2000,129.337494,train
130,12-07-2000,131.129684,train
131,13-07-2000,124.445313,train
132,14-07-2000,120.809372,train
133,17-07-2000,119.541405,train
134,18-07-2000,116.814842,train
135,19-07-2000,114.007034,train
136,20-07-2000,114.703903,train
137,21-07-2000,113.548439,train
138,24-07-2000,106.171875,train
139,25-07-2000,112.210159,train
140,26-07-2000,103.253906,train
141,27-07-2000,105.967186,train
142,28-07-2000,108.657028,train
143,31-07-2000,106.264847,train
144,01-08-2000,106.012497,train
145,02-08-2000,103.857811,train
146,03-08-2000,100.810158,train
147,04-08-2000,98.25,train
148,07-08-2000,101.5625,train
149,08-08-2000,117.402344,train
150,09-08-2000,118.610153,train
151,10-08-2000,113.903122,train
152,11-08-2000,113.366409,train
153,14-08-2000,114.033592,train
154,16-08-2000,121.082031,train
155,17-08-2000,117.667191,train
156,18-08-2000,124.478905,train
157,21-08-2000,124.671875,train
158,22-08-2000,129.852341,train
159,23-08-2000,125.293747,train
160,24-08-2000,128.2211,train
161,25-08-2000,126.238281,train
162,28-08-2000,121.573441,train
163,29-08-2000,122.560158,train
164,30-08-2000,122.282814,train
165,31-08-2000,130.830475,train
166,04-09-2000,134.200775,train
167,05-09-2000,133.388275,train
168,06-09-2000,130.632034,train
169,07-09-2000,130.551559,train
170,08-09-2000,133.676559,train
171,11-09-2000,135.753906,train
172,12-09-2000,138.234375,train
173,13-09-2000,135.735153,train
174,14-09-2000,133.848434,train
175,15-09-2000,132.935944,train
176,18-09-2000,124.832031,train
177,19-09-2000,120.552345,train
178,20-09-2000,121.959373,train
179,21-09-2000,117.614845,train
180,22-09-2000,109.668747,train
181,25-09-2000,118.441406,train
