,DATE,STOCK_PRICE,Indicator
0,2000-01-03,122.480469,train
1,2000-01-04,132.110931,train
2,2000-01-05,121.542191,train
3,2000-01-06,111.819138,train
4,2000-01-07,102.873825,train
5,2000-01-10,107.03125,train
6,2000-01-11,98.469139,train
7,2000-01-12,101.570313,train
8,2000-01-13,93.953514,train
9,2000-01-14,94.382813,train
10,2000-01-17,92.576172,train
11,2000-01-18,95.625,train
12,2000-01-19,101.556641,train
13,2000-01-20,98.690231,train
14,2000-01-21,105.738281,train
15,2000-01-24,111.71875,train
16,2000-01-25,112.8125,train
17,2000-01-27,114.1875,train
18,2000-01-28,117.96875,train
19,2000-01-31,112.578125,train
20,2000-02-01,115.09375,train
21,2000-02-02,114.6875,train
22,2000-02-03,116.40625,train
23,2000-02-04,122.5625,train
24,2000-02-07,132.367188,train
25,2000-02-08,138.75,train
26,2000-02-09,135.609375,train
27,2000-02-10,144.140625,train
28,2000-02-11,155.671097,train
29,2000-02-14,168.124222,train
30,2000-02-15,155.9375,train
31,2000-02-16,155.461716,train
32,2000-02-17,160.417191,train
33,2000-02-18,153.75,train
34,2000-02-21,160.546875,train
35,2000-02-22,156.09375,train
36,2000-02-23,143.607025,train
37,2000-02-24,148.351563,train
38,2000-02-25,136.499222,train
39,2000-02-28,133.59375,train
40,2000-02-29,136.009369,train
41,2000-03-01,146.889847,train
42,2000-03-02,158.640625,train
43,2000-03-03,171.331253,train
44,2000-03-06,185.037506,train
45,2000-03-07,199.839844,train
46,2000-03-08,193.568756,train
47,2000-03-09,183.092194,train
48,2000-03-10,182.8125,train
49,2000-03-13,168.188278,train
50,2000-03-14,154.733597,train
51,2000-03-15,151.676559,train
52,2000-03-16,139.542969,train
53,2000-03-21,150.706253,train
54,2000-03-22,162.762497,train
55,2000-03-23,159.53125,train
56,2000-03-24,166.767975,train
57,2000-03-27,163.150787,train
58,2000-03-28,156.987503,train
59,2000-03-29,161.610931,train
60,2000-03-30,151.1875,train
61,2000-03-31,139.092972,train
62,2000-04-03,127.965622,train
63,2000-04-04,117.728905,train
64,2000-04-05,122.039063,train
65,2000-04-06,131.801559,train
66,2000-04-07,142.345306,train
67,2000-04-10,153.732025,train
68,2000-04-11,166.029694,train
69,2000-04-12,157.306244,train
70,2000-04-13,144.721878,train
71,2000-04-17,133.144531,train
72,2000-04-18,122.773438,train
73,2000-04-19,112.952347,train
74,2000-04-20,118.065628,train
75,2000-04-24,113.570313,train
76,2000-04-25,113.992188,train
77,2000-04-26,123.110939,train
78,2000-04-27,124.492188,train
79,2000-04-28,126.5625,train
80,2000-05-02,123.0,train
81,2000-05-03,120.3125,train
82,2000-05-04,127.6875,train
83,2000-05-05,132.8125,train
84,2000-05-08,118.012497,train
85,2000-05-09,123.828125,train
86,2000-05-10,120.3125,train
87,2000-05-11,112.34375,train
88,2000-05-12,106.71875,train
89,2000-05-15,108.90625,train
90,2000-05-16,108.28125,train
91,2000-05-17,109.269531,train
92,2000-05-18,108.34375,train
93,2000-05-19,100.890625,train
94,2000-05-22,91.625,train
95,2000-05-23,96.5625,train
96,2000-05-24,94.140625,train
97,2000-05-25,94.185158,train
98,2000-05-26,93.59375,train
99,2000-05-29,91.813278,train
100,2000-05-30,97.898438,train
101,2000-05-31,109.21875,train
102,2000-06-01,111.09550775,train
103,2000-06-02,117.578125,train
104,2000-06-05,125.128906,train
105,2000-06-06,124.80703,train
106,2000-06-07,121.022659,train
107,2000-06-08,123.575783,train
108,2000-06-09,122.814842,train
109,2000-06-12,121.342972,train
110,2000-06-13,121.920311,train
111,2000-06-14,122.59922,train
112,2000-06-15,129.631256,train
113,2000-06-16,131.714066,train
114,2000-06-19,133.912506,train
115,2000-06-20,137.103119,train
116,2000-06-21,131.863281,train
117,2000-06-22,132.895309,train
118,2000-06-23,128.160156,train
119,2000-06-26,126.396873,train
120,2000-06-27,127.471092,train
121,2000-06-28,128.860931,train
122,2000-06-29,130.483597,train
123,2000-06-30,129.982025,train
124,2000-07-04,136.383591,train
125,2000-07-05,133.8125,train
126,2000-07-06,132.097656,train
127,2000-07-07,132.547653,train
128,2000-07-10,130.100784,train
129,2000-07-11,129.337494,train
130,2000-07-12,131.129684,train
131,2000-07-13,124.445313,train
132,2000-07-14,120.809372,train
133,2000-07-17,119.541405,train
134,2000-07-18,116.814842,train
135,2000-07-19,114.007034,train
136,2000-07-20,114.703903,train
137,2000-07-21,113.548439,train
138,2000-07-24,106.171875,train
139,2000-07-25,112.210159,train
140,2000-07-26,103.253906,train
141,2000-07-27,105.967186,train
142,2000-07-28,108.657028,train
143,2000-07-31,106.264847,train
144,2000-08-01,106.012497,train
145,2000-08-02,103.857811,train
146,2000-08-03,100.810158,train
147,2000-08-04,98.25,train
148,2000-08-07,101.5625,train
149,2000-08-08,117.402344,train
150,2000-08-09,118.610153,train
151,2000-08-10,113.903122,train
152,2000-08-11,113.366409,train
153,2000-08-14,114.033592,train
154,2000-08-16,121.082031,train
